ISLAND,TRANSECTID,OCC_SITEID,REA_SITE,SITE_DEPTH_M,LATITUDE,LONGITUDE,REGION,STATUS,INSTRUMENTS
KIM,,OCC-KIM-003,KIM-04,11.3,-5.32532,150.29815,CORALTRI,Inactive,STR
KIM,,OCC-KIM-004,KIM-05,25.6,-5.20136,150.37786,CORALTRI,Inactive,STR
KIM,,OCC-KIM-005,KIM-06,25.3,-5.09039,150.19074,CORALTRI,Inactive,STR
KIM,,OCC-KIM-006,KIM-06,15.8,-5.09014,150.19086,CORALTRI,Inactive,STR
KIM,,OCC-KIM-007,KIM-09,4.9,-5.09003,150.1913,CORALTRI,Inactive,STR
KIM,,OCC-KIM-008,KIM-02,14.3,-5.29492,150.12828,CORALTRI,Inactive,"STR, EAR"
KIM,,OCC-KIM-009,KIM-02,4,-5.29489,150.1284,CORALTRI,Inactive,STR
KIM,,OCC-KIM-010,KIM-10,0.2,-5.15687,150.29904,CORALTRI,Inactive,SST-STR
KIM,,OCC-KIM-011,KIM-11,25,-5.15688,150.29897,CORALTRI,Inactive,STR
KIM,,OCC-KIM-012,KIM-12,0.9,-5.29498,150.12847,CORALTRI,Inactive,STR
KIM,,OCC-KIM-013,KIM-13,36,-5.43687,150.09748,CORALTRI,Inactive,STR
KIM,,OCC-KIM-014,KIM-05,8.8,-5.20141,150.37778,CORALTRI,Inactive,STR
KIM,,OCC-KIM-015,KIM-05,0.9,-5.20151,150.37765,CORALTRI,Inactive,STR
